City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,ma'an,26.9775,110.7211,19.98,61,71,0.84,CN,1698669521
312,ko pha ngan,9.7578,100.0291,24.38,74,96,6.02,TH,1698669522
313,mount pearl,47.5166,-52.7813,4.69,63,20,11.32,CA,1698669072
314,san patricio,28.017,-97.5169,8.94,70,100,9.64,US,1698669066
315,st. john's,47.5649,-52.7093,5.15,62,20,11.32,CA,1698669116
316,northam,51.0333,-4.2167,15.22,81,9,5.79,GB,1698669522
317,margaret river,-33.95,115.0667,12.64,73,0,5.95,AU,1698669035
318,tanjung pandan,-2.75,107.65,26.93,72,44,1.73,ID,1698669178
319,dobrota,42.4542,18.7683,23.99,53,0,2.06,ME,1698669523
320,tayshet,55.9342,98.0044,-6.08,58,0,1.05,RU,1698669523
321,sorong,-0.8833,131.25,27.35,78,47,2.05,ID,1698669523
322,ambovombe,-25.1667,46.0833,25.45,68,20,7.18,MG,1698669161
323,colonia,50.9333,6.95,16.74,73,0,6.17,DE,1698668984
324,chokwe,-24.5333,32.9833,17.99,61,100,5.33,MZ,1698669524
325,acarau,-2.8856,-40.12,30.93,53,16,7.25,BR,1698669284
326,tejupilco de hidalgo,18.9,-100.15,16.66,90,7,2.14,MX,1698669524
327,metlili chaamba,32.2667,3.6333,29.52,10,40,8.75,DZ,1698669151
328,pariaman,-0.619,100.12,26.03,89,63,1.43,ID,1698669524
329,pitimbu,-7.4706,-34.8086,29.33,60,42,6.77,BR,1698669135
330,bubaque,11.2833,-15.8333,28.29,68,98,1.3,GW,1698669525
331,little falls,40.869,-74.2082,12.8,90,100,3.09,US,1698669525
332,bardai,11.65,7.2333,35.06,15,59,6.5,NG,1698669525
333,minab,27.1467,57.0801,30.73,43,85,3.32,IR,1698669168
334,cannonvale,-20.2833,148.7,22.66,65,86,4.03,AU,1698669525
335,bogra,24.85,89.3667,25.49,61,98,1.23,BD,1698669326
336,kramfors,62.9316,17.7765,-0.12,86,100,3.09,SE,1698669526
337,grand falls-windsor,48.9332,-55.6649,1.39,72,42,0.45,CA,1698668839
338,vernon,50.2581,-119.2691,-1.5,75,99,2.57,CA,1698669231
339,queenstown,-31.8976,26.8753,16.09,32,0,10.02,ZA,1698669526
340,rybnik,50.0971,18.5418,20.36,72,47,2.24,PL,1698669526
341,nantucket,41.2835,-70.0995,13.08,100,100,6.17,US,1698669070
342,walvis bay,-22.9575,14.5053,19.53,63,0,4.63,NA,1698669040
343,makurazaki,31.2667,130.3167,17.2,69,13,2.19,JP,1698669527
344,tromso,69.6496,18.957,-2.99,93,75,2.57,NO,1698669527
345,ondangwa,-17.9167,15.95,38.0,5,36,2.06,NA,1698669527
346,paciran,-6.8767,112.3761,28.66,74,12,5.4,ID,1698669527
347,mount darwin,-16.7725,31.5838,27.51,44,100,5.93,ZW,1698669528
348,tsiombe,-25.3,45.4833,28.08,52,16,6.9,MG,1698669117
349,gohpur,26.8833,93.6333,22.59,79,0,0.69,IN,1698669528
350,san fernando,15.0286,120.6898,28.85,79,98,2.61,PH,1698669528
351,floro,61.5996,5.0328,6.04,33,20,3.6,NO,1698669157
352,gilgit,35.9221,74.3087,16.83,36,0,1.28,PK,1698669528
353,hovd,48.0056,91.6419,4.67,55,100,1.24,MN,1698669528
354,malanje,-9.5402,16.341,30.31,41,100,1.19,AO,1698669529
355,saint-francois,46.4154,3.9054,13.69,94,75,3.6,FR,1698669529
356,yamada,39.4667,141.95,11.31,87,4,1.64,JP,1698669106
357,buzuluk,52.7807,52.2635,3.87,94,100,8.05,RU,1698669529
358,weno,7.4515,151.8468,28.39,78,95,5.42,FM,1698669118
359,bereznik,62.8551,42.7072,-4.26,77,7,1.38,RU,1698669530
360,juneau,58.3019,-134.4197,4.12,95,100,8.23,US,1698669530
